business_id,name,city,state,postal_code,latitude,longitude
viFP7j-WLzVhkCFXWGWQDw,Sonic Drive-In,Las Vegas,NV,89031,36.2402917349,-115.1200517288
BxWRVYVepLmhTf3TAlRUlw,Subway,Cecil,PA,15321,40.3186133324,-80.2045314441
L4KJL44Yj3HkzAkKfm0PZw,Dairy Queen,North Las Vegas,NV,89084,36.2919853,-115.1806678
p6mnPa2-__9ttPTIfecc0Q,Subway,Toronto,ON,M4M 1H1,43.6590216,-79.3491051
gPZj-XXVwFHgd8zjJPzVCw,Subway,Las Vegas,NV,89139,36.0552179,-115.2259209
RcsfZ7IrWSNvM1AYcLmWNw,Steak ’n Shake,Tarentum,PA,15084,40.5700855645,-79.8012596369
owV0aSgh4t_9aG56iPxGEw,Panda Express,Parma,OH,44129,41.3780450831,-81.7341383189
-llrUA_TlQTWH_CMM3NTNQ,KFC,Toronto,ON,M4S 2L5,43.699307,-79.386229
bxTieCzz5_RxGKp3N4E6MA,Taco Bell of Canada,Calgary,AB,T3H 3C8,51.0154135,-114.1690681
CADEGYHiM3IQHPO2X3OOwQ,Jimmy John's,Strongsville,OH,44136,41.306317,-81.8345108
vppf6Lnqet_elcft6tYmdw,KFC,Calgary,AB,T3B 0N3,51.0733526,-114.1646684
cfjkP0icF3wdaOJQJUy9sw,Wendy's,Pittsburgh,PA,15232,40.4571266518,-79.9377973675
lSO9qpXaZZWufIZzH5L1IQ,Taco Bell,Las Vegas,NV,89107,36.1726548,-115.1965118
IGkgcygg4nYYg2-jE5hnSw,Wendy's,Charlotte,NC,28202,35.2298698,-80.923698
QCnT5MdeWrbZ2SjvDY4_cQ,Jack in the Box,Phoenix,AZ,85007,33.4510395,-112.0992886
mHOyR-RZBxCABm-Svga8Ow,Taco Bell,Stoughton,WI,53589,42.928892,-89.249287
iWGO0_z8Rdwd3ZViapwRhg,Panera Bread,Tempe,AZ,85281,33.432945436,-111.9055820909
UY3MJUfAvWTDLM1zVdpa3w,Jersey Mike's Subs,Gilbert,AZ,85297,33.2855958946,-111.7875759867
8vkFJ_kA8XxDyjHfmsdEOg,Five Guys,Las Vegas,NV,89135,36.1449420006,-115.3328382992
cghHesD2NXV5yUu-ZAxE2g,Lumberjacks,North Las Vegas,NV,89032,36.2388943,-115.155705
8Rydf8hXleCwbCN9nvmZ4Q,Chipotle Mexican Grill,Madison,WI,53703,43.0751466,-89.3965677
hqCX3wb5699o_kgW0DluWA,Subway,Saint-Laurent,QC,H4R 1P8,45.4938787,-73.7050947
k-NEUIXaPnXtrzCo1MeO7g,Jimmy John's,Phoenix,AZ,85032,33.5985771873,-111.9784468156
b-bHa-ziECvPpp9AsTBlRw,Taco Bell,Mesa,AZ,85215,33.452196,-111.684205
5XIIUcmBADuz1h8W0QztVQ,Panda Express,Phoenix,AZ,85043,33.4234423,-112.2249659
h5PKBY4jvOwuyYb5Dtr6jA,Chick-fil-A,Pittsburgh,PA,15275,40.4510215,-80.1749952
2uAicR2Gel9BMy7jyYUcjw,Burger King,Chandler,AZ,85249,33.2477982,-111.7922545
108H_8aEgOH5uz_C9hBgUQ,Jack In the Box,Charlotte,NC,28273,35.112539,-80.9194775
VFv7NcPW9ajUTLleJ8wOQA,Chipotle Mexican Grill,Pittsburgh,PA,15213,40.4410619,-79.9579981
kUdC_ELKTqxJFtNvNBJ7XQ,Subway,Mesa,AZ,85206,33.3904087,-111.6900874
Yg_erZ2xWHT1k0HW8FWzLg,KFC,Charlotte,NC,28213,35.2585,-80.7891
o10-_WmF3MF5uXwMWGg5VQ,Wendy's,Cleveland,OH,44121,41.5210219,-81.5347328
LdHtEVDZQhlz2N98IqcYUg,Taco Bell,Parma,OH,44129,41.380491,-81.734714
fu_holJh_R4kZklLnJZbtw,Quiznos,Lorain,OH,44053,41.418876,-82.2023743
BSQgdjMm5pYSWuGyr-8pIA,Jimmy John's,Glendale,AZ,85308,33.6387943,-112.225222
kU-PnJKZfYycGfHYE719Lg,Popeyes Louisiana Kitchen,Amherst,OH,44001,41.377187,-82.22502
x6qH9HXhzuKM03jcZmg-ZQ,Firehouse Subs,Scottsdale,AZ,85260,33.6194863,-111.8984525
q7aNYIUEkmisLTE3qBPRog,Panda Express,Henderson,NV,89015,36.0129763678,-114.9638344457
RUJfBZJuYEGgKYRW6mIzCQ,Jimmy John's Gourmet Sandwiches,Las Vegas,NV,89102,36.1441525,-115.2069549
WuTdb365xF8kY2KAu6gm9A,Panera Bread,Murrysville,PA,15668,40.421806,-79.661538
W_hc8EBepLQNbo-OpOW4Og,Panera Bread,Allison Park,PA,15101,40.602218,-79.945617
862VnRc1IJXoh_CmeIitCw,KFC,North Las Vegas,NV,89032,36.2398,-115.16
cJTziG8b7bW-FSvgFeLi_Q,Jersey Mike's Subs,Phoenix,AZ,85022,33.639781,-112.071947
1Df5WnLX3DqN6ymlhqznaQ,Roy's Restaurant,Las Vegas,NV,89119,36.1151569,-115.14971
6EYmMjaQU0UHjA8PbQKI7Q,Subway,Mesa,AZ,85206,33.3954256,-111.6841917
AsXzV6QKqO3IjekPavLpmg,Wendy's,Toronto,ON,M1V 5G9,43.8254959377,-79.2977137864
LFhF2la-C_vrNrQRz5GnIA,Burger King,Las Vegas,NV,89108,36.196713071,-115.2235798546
s-aQOPJ0YEXj5I_2DwilzA,Wendy's,Calgary,AB,T3B 4T1,51.0841577,-114.2081831
kkbaE4ezP4SUqWi4rLSBIg,Jack in the Box,Phoenix,AZ,85032,33.641173,-111.9948899
VRUtFKBw21UqtJpXUXSp_A,Burger King,Charlotte,NC,28208,35.2240066,-80.8976778
30Bvo-tEfvh2KOTLQg6FZw,Subway,Pittsburgh,PA,15213,40.4414535,-79.9574563
rxjHvIvV_BlzKa8ftRUpGA,Five Guys,Scottsdale,AZ,85260,33.6266202305,-111.9250245407
z0DImJOdVrSF8BmgmeMy5g,Hardee's,Indian Trail,NC,28079,35.0849661,-80.6608426
UED302E-B2OyVr0mssARnA,Panda Express,Las Vegas,NV,89118,36.0627325626,-115.2429848747
fPivHoeKNFhPKZEKFeoIHg,Wendy's,Pittsburgh,PA,15205,40.4290341,-80.0532024
9SydO2JB2Z4gm-IRw5FSIQ,Wendy's,Surprise,AZ,85379,33.5946695662,-112.3910650863
xDHuJaOQ5HqaLP0zgpJD9w,Taco Bell,Chandler,AZ,85248,33.2629454488,-111.8595999847
qbZ0Hjp-lUMtkGS_R1UnpQ,Burger King,Phoenix,AZ,85008,33.466085,-112.013243
NbkDsQhfK13ATV79TI4OQg,Chipotle Mexican Grill,Pittsburgh,PA,15237,40.5689118,-80.0218138
TIUd6XX7-hF6EPF2NowMsA,Subway,Las Vegas,NV,89123,36.0410197,-115.1167131
PrBHv6zXtkJNjmlU79Y6Fg,Firehouse Subs,Concord,NC,28027,35.369273,-80.72329
usRJtfQdy0NtjWb7Ayvmsw,Panda Express,Goodyear,AZ,85338,33.463297,-112.341479
1buqH6E5R2jPOrTQDF6sFQ,Jack-In-the Box,Phoenix,AZ,85009,33.4656892,-112.134034
LVF_M640eZdJN6wX12VrEQ,Burger King,Phoenix,AZ,85004,33.448587,-112.072102
grZ6FnfZoj1pQWElAQve3g,Wendy's,Pittsburgh,PA,15226,40.4002348,-80.0241271
jqlxOzP3SDGKvPIK-9CwBA,Panda Express,Mesa,AZ,85212,33.3254085,-111.6871411
llcByEqkvO-KHT6oJ3pJMA,Carl's Jr.,Chandler,AZ,85224,33.3333005,-111.8595135
tE7Xc8WzB5M422ud2aCB4g,Zaxby's Chicken Fingers & Buffalo Wings,Huntersville,NC,28078,35.4401376443,-80.8659737486
xJxfGReFZqZ1DDppESxMVA,Wendy's,Tempe,AZ,85284,33.3341677,-111.9466831
c50HBldFU8BXUIW6WFXTAw,Subway,Charlotte,NC,28262,35.294772,-80.755847
QMabpBYQ2qAh16GPbCvMrA,Wendy's,Henderson,NV,89074,36.0333471779,-115.0462933815
YyxB3K1ORzc7ChMKgyxm9Q,Subway,Las Vegas,NV,89123,36.0302336,-115.1354155
fJAWn77rOLON08wli_AQ2Q,Burger King,Toronto,ON,M1P 2J3,43.7638012,-79.2912268
HxOycKEgCl7aXjBsVs0t-w,Quiznos,Las Vegas,NV,89130,36.2616736455,-115.2491297969
QZjBYhI6gX-hD3d1Ed-s7Q,Wendy's,North Olmsted,OH,44070,41.4186553,-81.9177204
XuKkLgZbcdNOJ0EDlydnNQ,Subway,Charlotte,NC,28202,35.2286829,-80.8416712
J1RKcr6BAqOI-LDFbn0TvQ,Subway,Las Vegas,NV,89119,36.0854286,-115.149927
oV4wXa9_GEZWAYlyqKH8Ag,Billy Jack's Shack,Charlotte,NC,28205,35.2473056,-80.8048381
sDixNBvYsQJHPuDIMn3DRw,Five Guys,Peoria,AZ,85382,33.637605,-112.223018
kkD5pal9rRzE4PjeYSL9mA,Del Taco,Las Vegas,NV,89110,36.1662351,-115.0618588
82j2FxOIY7gud1IRglm1aw,Taco Bell,Cave Creek,AZ,85331,33.755799,-111.990488
O4YxrrQ8Rg1Kc4Mel3cAyg,Subway,Tempe,AZ,85281,33.4192981,-111.9402206
Nb3hAuv8OkpFgSImYdt3Rg,Chipotle Mexican Grill,Twinsburg,OH,44087,41.3080872,-81.4390146
cWvlPfTJQAfVzGIbm9wYEA,Burger King,Mississauga,ON,L6H 6J5,43.5220474808,-79.6815091408
dht_FLsWVuO6TJeuLqY97g,A&W,Toronto,ON,M6P 1Y8,43.665634,-79.461398
smlUOYE8cI3Ai6KFMXfR7g,Wendy's,Calgary,AB,T3K 5J6,51.154559,-114.065702
-_v2it0tjfDriFqN-FGpIg,Sonic Drive-In,Surprise,AZ,85374,33.63819953,-112.3927612678
Q23a-p9DWB9jbB1dgYeyTA,Five Guys,Warrensville Heights,OH,44122,41.448183,-81.4958236
Qh9sS8XjuO6tuvGWFqPsPQ,Five Guys,Charlotte,NC,28277,35.0346645,-80.805725
gZ07ufIQwnFjXUP-FWDt4Q,Jersey Mike's Subs,Charlotte,NC,28277,35.0611103,-80.817254
2hrj6ISpLJmvRen3AZkBWw,Subway,Las Vegas,NV,89149,36.2643443318,-115.2579024737
A8MmwHrMI0WnRTyQMdf8aQ,Chipotle Mexican Grill,Mississauga,ON,L5B 2C9,43.592098,-79.639562
ivXSATui5znHvRuVExj3vw,Subway,Las Vegas,NV,89183,36.0106875,-115.1371278
cuCcme3Vl2Itwh1ubs76Uw,Dairy Queen,Gilbert,AZ,85297,33.2627332366,-111.7187468815
vhIJ91MDgUuk4Cr9Kpj1Nw,Jimmy John's,Tempe,AZ,85281,33.423975,-111.940351
id5eLE8tV_ZXbUoTR0TNaA,Burger King,Montréal,QC,H3B 4G5,45.502466,-73.5713041
EozEGL29WftitEANtx3vaw,Chipotle Mexican Grill,Cleveland,OH,44102,41.4876842,-81.7685786
RxFZpTV8HhJy5v65MVYx1w,Sonic Drive-In,Peoria,AZ,85345,33.5843059,-112.2369813
K5sUVFSGFEZosixSXgx5sw,Shake Shack,Charlotte,NC,28209,35.1726866,-80.8493335
t8VqC6vO_hLkxZlwC7Xdzg,Wendy's,Chandler,AZ,85248,33.2906404,-111.8399274
8OfsvJM-TXtybas25dcGUw,KFC,Bethel Park,PA,15102,40.3367,-80.0236
BuGweXjpqEo_5ovBHd-7zQ,Wendy's,Las Vegas,NV,89107,36.1697444,-115.2054358
U0S6YqfxHWWJBWPwjUXcLQ,Wendy's,Toronto,ON,M1L 4V9,43.7261916,-79.291823
kosll4ft5_AFQ-PQSiR0ug,Dairy Queen,Mentor,OH,44060,41.6596057,-81.361214
ygKRVzf8aOwqh78pbuRBgg,Panda Express,Phoenix,AZ,85034,33.437548,-111.999108
HPngBhTmMOXbQI9Noppeaw,Chipotle Mexican Grill,Cuyahoga Falls,OH,44223,41.1481666,-81.5076042
hFK8uBuuwZgyCMYAis60MA,Taco Bell,Mesa,AZ,85205,33.415549,-111.735609
URGUzMJRhK5gLQKC4UztTQ,Taco bell,Toronto,ON,M1P 2L6,43.7608579101,-79.2798697203
WY42DgmUoYk1037gssAkxA,Burger King,Bedford,OH,44146,41.3934314,-81.5367155
LjjfsPpNEyHHouAyirPJcQ,Burger King,Kent,OH,44240,41.154171,-81.34961
8Uq4KDu10q1NAjA86v5Oeg,Subway,Las Vegas,NV,89120,36.0792394487,-115.1015573367
75i9St7QE12NX5JM-Zt90g,Taco Bell,Phoenix,AZ,85041,33.3933155,-112.1331165
wEWvo1-lnj5ZcItvLp2sDg,Subway,Scottsdale,AZ,85262,33.7988514,-111.9305908
AyKOSCyaPb7x8a9gqZ0z2A,Subway,Las Vegas,NV,89131,36.279833,-115.2615955
AUl6myFhTAbEqt0GMdKHiw,Chipotle Mexican Grill,Las Vegas,NV,89118,36.0636775,-115.2520419
tQsJRIDhhGQo45CRzFxw5A,Church's Chicken,Brampton,ON,L6Y 4M3,43.6586652,-79.7271161
TGlCiibIB2IxZwVzBjC2ng,Taco Bell,Cuyahoga Falls,OH,44221,41.119188,-81.480061
v5IUggBPzXEF1MCB7QMRsQ,Jimmy John's,Phoenix,AZ,85003,33.4482076863,-112.0747093518
CWNMLT-ppaUjLMmrnYDPVg,Roy's Restaurant,Las Vegas,NV,89117,36.158503,-115.285177
IkmL3syVMj8zZxpL-7SYsw,Subway,Las Vegas,NV,89118,36.0711489,-115.2073958
yUO7zPWGbumX42UzjbuBmw,Subway,Toronto,ON,M4Y 2E1,43.6654189,-79.3810194
9iKcVI8DPw3imjHk6dNVEQ,Dairy Queen Lachine,Lachine,QC,H8T 1P4,45.4338716,-73.6923149
9q2pK0s1-3xUZKbTzVcGGw,KFC,Homestead,PA,15120,40.4033,-79.9157
FKyDrTFQSvbn4KGsRFZYYQ,McDonalds,Phoenix,AZ,85034,33.450595,-112.029671
iO-BvLp2fu7AgSXG1PqcPg,Carl's Jr Restaurants,North Las Vegas,NV,89031,36.2611358,-115.1830935
9q8phddM1YWNKZVepKi6iQ,Taco Bell,Avondale,AZ,85323,33.4601,-112.34137
ews1zoLozRjcTIQNthvPZg,KFC,Sun Prairie,WI,53590,43.1866,-89.2315
18sAHGZz-WCAFqmMNqscVw,Jack In the Box,Henderson,NV,89012,36.0308697,-115.0299456
wFU96ah70juScw822O4Zpw,Subway,Las Vegas,NV,89101,36.1696655,-115.1441707
ARibvHrZdRv5xyE03lpuaQ,Popeyes Louisiana Kitchen,Mississauga,ON,L4Y 2A5,43.6085397443,-79.5842409474
_blrEZQZ6et5QEUa-a2WLg,Panda Express,Henderson,NV,89012,36.041158,-115.047221
W2f8-YpBL0P7TYXM5e-Jig,KFC,North Royalton,OH,44133,41.3138,-81.7241
8nuw6au-G4aYydLoXHwMCA,Long John Silver's,Gilbert,AZ,85296,33.2978019,-111.745606
0Tiq09V_kdMFPa1cL6I0AA,Culver's,Champaign,IL,61820,40.0854477,-88.2461754
426RL7G7oTyu-f8jFxVRJQ,Chipotle Mexican Grill,Scottsdale,AZ,85251,33.503376,-111.925734
WifBAENwZVGlwCMYchBG3g,Jack in the Box,Henderson,NV,89014,36.0558355,-115.0397965
__H_61gpm7eViPMbWxPZSg,Subway,Fountain Hills,AZ,85268,33.5745565,-111.7163752
klIBq4dTrid0Jblpnhd6vQ,A&W,Mississauga,ON,L5B 4L1,43.576153,-79.646677
WlqxMI84U-Cku3Qs-tJUJQ,Subway,Las Vegas,NV,89115,36.1954921,-115.06261
Q_ZqXNa5I753FOkA28R82Q,Panda Express,Gilbert,AZ,85296,33.2817211,-111.7889754
3eMNpEW9idRWUx88ZZbVXw,Arby's Roast Beef,Tempe,AZ,85282,33.3923064,-111.977815
2zPtma1ajsJlrXQak98TlQ,Panda Express,Henderson,NV,89014,36.067973,-115.041317
4UmjnX46qbhV6-D5W89IOQ,Taco Bell,Las Vegas,NV,89118,36.0609332,-115.2242758
q-9wprAg0B4_5o2ZWeR20g,Wendy's Old Fashioned Hamburgers,Tempe,AZ,85281,33.4139365,-111.9267488
t8rluekhg8LVJXwbTYaZVQ,KFC,Las Vegas,NV,89109,36.1273747911,-115.1689989543
2cfzQGANxuIGcCUrlwnV7w,Popeyes Louisiana Kitchen,Pittsburgh,PA,15235,40.4299984,-79.8132711
-Bb3kfdHIX1qm2RvtHnOTQ,Jimmy John's,Matthews,NC,28105,35.128028,-80.702461
eNMNXsMjT_PJ5sslcmoYQQ,Taco Bell,North Las Vegas,NV,89031,36.2759791034,-115.1453830768
86xm0Q8iX5ZjODWMkvwnxA,Popeyes Louisiana Kitchen,Las Vegas,NV,89109,36.1088418,-115.1721488
lE6IYzKg9U8tUXjYpz35zQ,McDonalds,Brampton,ON,L3R 3S9,43.7729997,-79.7789543
3rY7LYNynXGRbCT3sLABHg,Subway,Chandler,AZ,85224,33.307342,-111.873993
WMj5Uj04pAqFxLMnJQcQqw,Panda Express,Las Vegas,NV,89109,36.121177,-115.168596
-mgzaHUxD4I9Ss91KBGOyw,Popeyes Louisiana Kitchen,Etobicoke,ON,M9V 1B4,43.7416967,-79.5843792
NdvUzwz3jAM7Hao_UPMu6g,Popeyes Louisiana Kitchen,Toronto,ON,M5T 1R6,43.6576462,-79.399561
Ke0nQzmHSGTdSqmagaNr4Q,Panda Express,Las Vegas,NV,89145,36.1621982,-115.2888247
zXsB61ZYYsTCaKYOTYr1Tg,Wendy's,Charlotte,NC,28213,35.2757164,-80.7931498
1Hhc1h5TETqtVMgasiimuQ,Subway,Sun Prairie,WI,53590,43.1784668,-89.237732
_4-kSAZ1qopE2GcMojLxzg,Burger King,Chardon,OH,44024,41.5812817,-81.2106144
oIcGZlqwrKkyw_L6YAVYfw,Sonic Drive-In,Las Vegas,NV,89104,36.144818,-115.1168704033
uXzYH9ywBhZ0WwfStrCWNQ,Jersey Mike's Subs,Las Vegas,NV,89147,36.1155388,-115.3001955
bSdLGMzfyNa5PcwH_00_CQ,Jack's Pizza & Hoagies,Pittsburgh,PA,15238,40.545767,-79.9020714
0J9lSi-jNa6FLXI9sTNpZQ,Panera Bread,Highland Heights,OH,44143,41.539594,-81.451432
1tNVPumjvFErYjvSXbOQ6Q,Wendy's,Las Vegas,NV,89102,36.1449223,-115.2001708
QcW0360vpeEilCLBlKEiLw,Jimmy John's,Westlake,OH,44145,41.465098,-81.95282
2nraROl3d0-Wr9EPGkW-1A,Subway,Las Vegas,NV,,36.1701296258,-115.2908725811
Mw77SD8EWVR1z0aABEOpTA,KFC,THORNHILL,ON,L4J 1V7,43.7986097,-79.4206943
mzOEQeAJ_ctf8sHnOccmug,A&W,Vaughan,ON,L4K 5W4,43.8254468,-79.5384264
JsGswUxAFK4uRht2UL62UA,Panda Express,Las Vegas,NV,89119,36.1194384,-115.1381069
88yIboxl9p7sPy9ifh_s4A,Sonic Drive-In,Phoenix,AZ,85008,33.4661335,-111.9737293
1d3nPqv_WhZMsNOB22EawA,Wendy's,Charlotte,NC,28211,35.176381,-80.797592
60k9jrzsQ-uO8dlQuUIjQg,Burger King,Las Vegas,NV,89109,36.1156338,-115.172557
sPQ3i5lI2Tg8pbmqbDaZZw,Subway,Henderson,NV,89074,36.0358639,-115.0990529
afuh98hZmRUPS_H2wl6y4g,Chicken King,Charlotte,NC,28216,35.2411389709,-80.8582929531
49JTxfrT4BnROuk9_RIW6w,KFC,Madison,WI,53704,43.1314,-89.2999
EH7j2tmRh-QoXn5lftbDqg,Burger King,North York,ON,M6A 1C4,43.7142167,-79.4563951
oI11Y5AZscmmn12Yv3PinQ,Subway,Las Vegas,NV,89178,36.0198631,-115.2704078
tAdgAmRZnAOvCipAr2trqQ,Burger King,Las Vegas,NV,89121,36.1329379,-115.084697
Qzi-dTdVU8tevAqXPQcUvA,A&W,Calgary,AB,T3A 2L7,51.1010870093,-114.1434528467
taaYWCkUulZL56qZmS1VzQ,Jack In The Box,Las Vegas,NV,89123,36.0419347,-115.1202268
7Sr941ps7tw1Do5Eks7w-g,Arby's,Bridgeville,PA,15017,40.3678974,-80.103154
tHaySMUc5u2a_71vfZG-0A,Burger King,Phoenix,AZ,85034,33.4352284,-111.9978273
So2tr4GnhCMYeZvfJYRCEQ,Burger King,Cleveland,OH,44134,41.4047596,-81.6948717
kRRtnGLDTTfKyeuwjh8Blg,Subway,Las Vegas,NV,89148,36.0696147774,-115.2982040877
xqpjZakCEWarm9jfzoYfWQ,Taco Bell,Gastonia,NC,28052,35.2884579,-81.1885669
ZqSoPixvzl4qVwEXoDPFsA,Subway,Brampton,ON,L6Z 1Y4,43.728192,-79.7963163
BLWR8UaDExMxx1z3fhu0Fg,Burger King,North Olmsted,OH,44070,41.4198868,-81.9133868
rPY4bukI1QdfJc-1OCAwLg,Carl's Jr 7081,Phoenix,AZ,85053,33.6400082,-112.1339396
ujfIrNpNM9D020nPL4znRQ,Del Taco,Las Vegas,NV,89130,36.2036872,-115.1992573
l8-iWoq7iGP99rb05l1S0g,Burger King,Glendale,AZ,85303,33.5384025,-112.2198895
e_zBPuc8oma-NXj69WKkjw,McDonalds,Calgary,AB,T3E,51.037815,-114.13974
vY4MVT7UoQzlDHwhB8QlPA,Jack in the Box,Tempe,AZ,85282,33.4077394,-111.9248057
de1OhE-0BHuoI9pzXBKxkQ,Arby's,Phoenix,AZ,85015,33.4809293,-112.1109946
MUMiGoEZ3NBwebH4Eff4LA,Dairy Queen,Lakewood,OH,44107,41.485085,-81.813924
x2HFl9z3xKf-Anup4dXp-Q,Subway,Davidson,NC,28036,35.5034994,-80.8631998
O3UDRFNGWaddyt9O1Mh88w,Five Guys,Mesa,AZ,85206,33.392896,-111.684085
8ovNFseCDB14s1_VEDWsLg,A&W,Brampton,ON,L6S 5X9,43.7390138,-79.70208
6gxlDhmZ80bhflm2A-U0KQ,Burger King,Las Vegas,NV,89121,36.1427118,-115.0661126
qPJFqV1Xa4hfIonUzFqLkg,A&W,Laval,QC,H7S 1N3,45.5651807185,-73.7337084485
A1hKExz2y8V6gyLx7ST2uw,Taco Bell,Madison,WI,53703,43.0751289,-89.3942456
